Tên cơ sở,Địa chỉ,Điện thoại,Fax,Email,Website
Ngọ Môn,", Thành phố Huế, Thừa Thiên Huế",,,,
Chợ Đông Ba,", Thành phố Huế, Thừa Thiên Huế",,,,
Lăng Tự Ðức (Khiêm Lăng),", Phường Thuỷ Biều, Thành phố Huế, Thừa Thiên Huế",,,,
Lăng Khải Định (Ứng Lăng),", Xã Thủy Bằng, Thị xã Hương Thủy, Thừa Thiên Huế",,,,
Bãi biển Thuận An,", Thị trấn Thuận An, Huyện Phú Vang, Thừa Thiên Huế",,,,
Bãi biển Lăng Cô,", Thị trấn Lăng Cô, Huyện Phú Lộc, Thừa Thiên Huế",,,,
Hiển Lâm Các,", Thành phố Huế, Thừa Thiên Huế",,,,
Bảo tàng Mỹ thuật Cung đình Huế,"Số 3 đường Lê Trực, Thành phố Huế, Thừa Thiên Huế",,,,
Kinh thành Huế,", Thành phố Huế, Thừa Thiên Huế",,,,
Kỳ Ðài Huế,", Phường Thuận Thành, Thành phố Huế, Thừa Thiên Huế",,,,
Nhà vườn An Hiển,"Làng Xuân Hoà, Phường Hương Long, Thành phố Huế, Thừa Thiên Huế",,,,
Cung An Định,"Số 97 đường Phan Đình Phùng, Thành phố Huế, Thừa Thiên Huế",,,,
Văn Miếu Huế,", Phường Hương Long, Thành phố Huế, Thừa Thiên Huế",,,,
Thế Miếu,", Thành phố Huế, Thừa Thiên Huế",,,,
Làng nón Phú Cam,", Phường Phước Vĩnh, Thành phố Huế, Thừa Thiên Huế",,,,
Thái Bình Lâu,", Thành phố Huế, Thừa Thiên Huế",,,,
Bãi biển Cảnh Dương,", Huyện Phú Lộc, Thừa Thiên Huế",,,,
Ðàn Nam Giao,", Phường Thuỷ Xuân, Thành phố Huế, Thừa Thiên Huế",,,,
Nhà thờ dòng chúa Cứu Thế,"Đường Nguyễn Huệ, Thành phố Huế, Thừa Thiên Huế",,,,
Khu nghỉ dưỡng suối nước khoáng nóng Thanh Tân,", Xã Phong An, Huyện Phong Điền, Thừa Thiên Huế",,,,
Công viên Thiên đường Bảo Sơn,", Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội",,,,
Khu du lịch và vườn Quốc gia Ba Vì,", Huyện Ba Vì, Thành phố Hà Nội",,,,
Việt phủ Thành Chương,", Xã Hiền Ninh, Huyện Sóc Sơn, Thành phố Hà Nội",,,,
Bảo tàng Phụ nữ Việt Nam,"Số 36 Lý Thường Kiệt, Quận Hoàn Kiếm, Thành phố Hà Nội",,,,
Thành cổ Sơn Tây,", Thị xã Sơn Tây, Thành phố Hà Nội",,,,
Làng mây tre đan Phú Vinh,", Xã Phú Nghĩa, Huyện Chương Mỹ, Thành phố Hà Nội",,,,
Làng lụa Vạn Phúc,", Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội",,,,
Chùa Trấn Quốc,"Đường Thanh Niên, Phường Yên Phụ, Quận Tây Hồ, Thành phố Hà Nội",,,,
Cầu Long Biên,", Thành phố Hà Nội",,,,
Bảo tàng Mỹ thuật Việt Nam,"Số 66 phố Nguyễn Thái Học, Quận Ba Đình, Thành phố Hà Nội",,,,
Làng Văn hóa - Du lịch các dân tộc Việt Nam,"Thôn Đồng Mô, Thị xã Sơn Tây, Thành phố Hà Nội",,,,
Nhà hát lớn Hà Nội,"Số 1 phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm, Thành phố Hà Nội",024 02439330113,,hnopera@hanoioperahouse.org.vn,http://www.hanoioperahouse.org.vn
Bảo tàng Dân tộc học Việt Nam,"Đường Nguyễn Văn Huyên, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",024 3836 0352/ 3836 0351,024 3836 0351,information@vme.org.vn,www.vme.org.vn
Chùa Một Cột,"Phố Chùa Một Cột, Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội",,,,
Chùa Trăm Gian,"Thôn Tiên Lữ,, Xã Tiên Phương, Huyện Chương Mỹ, Thành phố Hà Nội",,,,
Hồ Trúc Bạch,", Phường Quán Thánh, Quận Ba Đình, Thành phố Hà Nội",,,,
Thành phố Hà Nội,", Thành phố Hà Nội",,,,
Chùa Trầm,"Thôn Long Châu, Xã Phụng Châu, Huyện Chương Mỹ, Thành phố Hà Nội",,,,
Làng đúc đồng Ngũ Xã,", Quận Ba Đình, Thành phố Hà Nội",,,,
Làng rối nước Đào Thục,", Xã Thuỵ Lâm, Huyện Đông Anh, Thành phố Hà Nội",,,,
Khu phố cổ Hà Nội,", Thành phố Hà Nội",,,,
Đình Tây Đằng,", Thị trấn Tây Đằng, Huyện Ba Vì, Thành phố Hà Nội",,,,
Trung tâm Hội nghị Quốc gia,", Quận Nam Từ Liêm, Thành phố Hà Nội",,,,
Khu du lịch rừng tự nhiên Bằng Tạ,", Huyện Ba Vì, Thành phố Hà Nội",,,,
Công viên Thống Nhất,", Quận Hai Bà Trưng, Thành phố Hà Nội",,,,
Chùa Vạn Niên,"Số 364 Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",,,,
Làng nghề mỹ nghệ Sơn Đồng,"Làng Sơn Đồng, Huyện Hoài Đức, Thành phố Hà Nội",,,,
Khu du lịch Đồng Mô,", Thị xã Sơn Tây, Thành phố Hà Nội",,,,
Quảng trường Ba Đình,"Đường Hùng Vương, Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội",,,,
Sân golf Đồng Mô,", Thị xã Sơn Tây, Thành phố Hà Nội",,,,
Bảo tàng Hồ Chí Minh,"Số 3 Ngọc Hà, Quận Ba Đình, Thành phố Hà Nội",,,,
Hậu Lâu,"Đường Hoàng Diệu, Quận Ba Đình, Thành phố Hà Nội",,,,
Khu du lịch sinh thái Thác Đa,"Thôn Mường Cháu, Xã Vân Hòa, Huyện Ba Vì, Thành phố Hà Nội",,,,
Lễ hội chùa Hương,", Xã Hương Sơn, Huyện Mỹ Đức, Thành phố Hà Nội",,,,
Công viên nước Đầm Sen,"03 Hòa Bình, Phường 03, Quận 11, Thành phố Hồ Chí Minh",028 02838588418,028 02838588419,,http://www.damsenwaterpark.com.vn
Chùa Giác Lâm,"565 Lạc Long Quân, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh",,,,
Chùa Linh Sơn,"149 Cô Giang, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh",,,,
Dinh Độc Lập,"106 Nguyễn Du, Quận 1, Thành phố Hồ Chí Minh",028 0808 5037/ 3822 3652,028 0808 5008,,www.dinhdoclap.gov.vn
Nhà hát thành phố Hồ Chí Minh,"Số 7 Công trường Lam Sơn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",028 3829 9976,,,
Làng du lịch Bình Quới,"1147 đường Bình Quới, Phường 28, Quận Bình Thạnh, Thành phố Hồ Chí Minh",028 3556 6020,028 3556 5469,binhquoi@hcm.fpt.vn,
Ðịa đạo Củ Chi,", Huyện Củ Chi, Thành phố Hồ Chí Minh",,,,
Chùa Vĩnh Nghiêm,"339 Nam Kỳ Khởi Nghĩa, Quận 3, Thành phố Hồ Chí Minh",,,,
Khu du lịch Suối Tiên,"Xa lộ Hà Nội, Phường Tân Phú, Quận 9, Thành phố Hồ Chí Minh",,,,
Nhà thờ Chợ Quán,"Số 120 Trần Bình Trọng, Phường 02, Quận 5, Thành phố Hồ Chí Minh",,,,
Chùa Xá Lợi,"89 Bà Huyện Thanh Quan, Quận 3, Thành phố Hồ Chí Minh",,,,
Đền thờ Trần Hưng Đạo,"36 Võ Thị Sáu, Quận 1, Thành phố Hồ Chí Minh",,,,
Nhà thờ Thánh Phanxicô Xaviê (Nhà thờ Cha Tam),"Số 25 Học Lạc, Phường 14, Quận 5, Thành phố Hồ Chí Minh",,,,
Khu du lịch Một Thoáng Việt Nam,"Bến Bò Cạp, Xã An Phú, Huyện Củ Chi, Thành phố Hồ Chí Minh",,,,
Bát Bửu Phật Đài,", Huyện Bình Chánh, Thành phố Hồ Chí Minh",,,,
Thảo Cầm Viên,"Số 2B Nguyễn Bỉnh Khiêm, Quận 1, Thành phố Hồ Chí Minh",,,,
Chợ Bình Tây,"Số 57A Tháp Mười, Phường 02, Quận 6, Thành phố Hồ Chí Minh",,,,
Phố đi bộ Nguyễn Huệ,", Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,,
Núi Mẫu Sơn,", Huyện Lộc Bình, Lạng Sơn",,,,
Động Tam Thanh,", Phường Tam Thanh, Thành phố Lạng Sơn, Lạng Sơn",,,,
Thành cổ Nghị Lang,", Huyện Bảo Yên, Lào Cai",,,,
Vườn Quốc gia Hoàng Liên,", Phường Sa Pa, Thị xã Sa Pa, Lào Cai",,,,
Chợ phiên Bắc Hà,", Thị trấn Bắc Hà, Huyện Bắc Hà, Lào Cai",,,,
Núi Hàm Rồng,", Phường Sa Pa, Thị xã Sa Pa, Lào Cai",,,,
Làng Cát Cát ở Sa Pa,", Phường Sa Pa, Thị xã Sa Pa, Lào Cai",,,,
Dinh Hoàng A Tưởng (Lâu đài Hoàng Yến Chao),", Thị trấn Bắc Hà, Huyện Bắc Hà, Lào Cai",,,,
Thung lũng hoa Bắc Hà,"Thôn Sân Bay, Xã Thải Giàng Phố, Huyện Bắc Hà, Lào Cai",,,,
Bản Dền,", Xã Bản Hồ, Thị xã Sa Pa, Lào Cai",,,,
Động Hàm Rồng,", Huyện Mường Khương, Lào Cai",,,,
Chợ Cao Sơn,", Xã Cao Sơn, Huyện Mường Khương, Lào Cai",,,,
Nhà thờ Đà Lạt,"Số 13 đường Trần Phú, Phường 3, Thành phố Đà Lạt, Lâm Đồng",,,,
Hồ Suối Vàng,", Huyện Lạc Dương, Lâm Đồng",,,,
Thành phố Đà Lạt,", Thành phố Đà Lạt, Lâm Đồng",,,,
Thác Đatanla,", Lâm Đồng",,,,
Chợ Đà Lạt,", Thành phố Đà Lạt, Lâm Đồng",,,,
Hồ Than Thở,", Thành phố Đà Lạt, Lâm Đồng",,,,
Chùa Linh Phong (Chùa sư nữ),"Đường Hoàng Hoa Thám, Thành phố Đà Lạt, Lâm Đồng",,,,
Vườn hoa Đà Lạt,"Số 2 Phù Đổng Thiên Vương, Thành phố Đà Lạt, Lâm Đồng",,,,
Thung lũng Tình yêu,", Thành phố Đà Lạt, Lâm Đồng",,,,
Chùa Linh Sơn,", Thành phố Đà Lạt, Lâm Đồng",,,,
Khu du lịch sinh thái Núi Voi,", Thành phố Đà Lạt, Lâm Đồng",,,,
Thác Liêng Rơwoa (Thác Voi),", Thị trấn Nam Ban, Huyện Lâm Hà, Lâm Đồng",,,,
Khu bảo tồn đất ngập nước Láng Sen,", Huyện Tân Hưng, Long An",,,,
Cụm di tích Bình Tả,", Xã Đức Hòa Hạ, Huyện Đức Hòa, Long An",,,,
Chùa Tôn Thạnh,", Xã Mỹ Lộc, Huyện Cần Giuộc, Long An",,,,
Sìn Hồ,", Thị trấn Sìn Hồ, Huyện Sìn Hồ, Lai Châu",,,,
Chợ rừng Dào San,", Xã Dào San, Huyện Phong Thổ, Lai Châu",,,,
Chùa Phổ Minh,", Phường Lộc Vượng, Thành phố Nam Định, Nam Định",,,,
Vườn quốc gia Xuân Thủy,", Xã Giao Thiện, Huyện Giao Thủy, Nam Định",,,,
Chùa Cổ Lễ,", Thị trấn Cổ Lễ, Huyện Trực Ninh, Nam Định",,,,
Nhà thờ gỗ Kon Tum,"Đường Nguyễn Huệ, Thành phố Kon Tum, Kon Tum",,,,
Vườn quốc gia Chư Mom Ray,", Huyện Sa Thầy, Kon Tum",,,,
Ngục Kon Tum,", Thành phố Kon Tum, Kon Tum",,,,
Đền Cuông,", Xã Diễn An, Huyện Diễn Châu, Nghệ An",,,,
Vườn quốc gia Pù Mát,", Huyện Tương Dương, Nghệ An",,,,
Khu di tích lịch sử Truông Bồn,"Xóm 10, Xã Mỹ Sơn, Huyện Đô Lương, Nghệ An",0238 0916 480 772,,truongbonnghean@gmail.com,www.truongbon.vn
Khu du lịch núi Quyết,", Thành phố Vinh, Nghệ An",,,,
Chợ vùng biên Nậm Cắn,", Nghệ An",,,,
Đền Quả Sơn,", Xã Bồi Sơn, Huyện Đô Lương, Nghệ An",,,,
Buôn Jun,", Thị trấn Liên Sơn, Huyện Lắk, Đắk Lắk",,,,
Hang Thẩm Ồm,", Huyện Quỳ Châu, Nghệ An",,,,
Khu du lịch sinh thái biển Bãi Lữ,", Huyện Nghi Lộc, Nghệ An",,,,
Thắng cảnh Thạch Động,", Thị xã Hà Tiên, Kiên Giang",,,,
Nhà tù Phú Quốc,", Phường An Thới, Thành phố Phú Quốc, Kiên Giang",,,,
Thắng cảnh Hà Tiên,", Thị xã Hà Tiên, Kiên Giang",,,,
Vườn Quốc gia Phú Quốc,", Thành phố Phú Quốc, Kiên Giang",,,,
Vườn Quốc gia U Minh Thượng,", Huyện U Minh Thượng, Kiên Giang",,,,
Công viên Vinpearl Safari Phú Quốc,", Xã Gành Dầu, Thành phố Phú Quốc, Kiên Giang",,,,
Vườn Quốc gia Cúc Phương,", Huyện Nho Quan, Ninh Bình",,,,
Khu du lịch sinh thái vườn chim Thung Nham,", Xã Ninh Hải, Huyện Hoa Lư, Ninh Bình",,,,
Suối nước nóng Kênh Gà,"Thôn Kênh Gà, Xã Gia Thịnh, Huyện Gia Viễn, Ninh Bình",,,,
Nhà thờ Phát Diệm,", Thị trấn Phát Diệm, Huyện Kim Sơn, Ninh Bình",,,,
Khu bảo tồn thiên nhiên đất ngập nước Vân Long,", Huyện Gia Viễn, Ninh Bình",,,,
Động Thiên Hà,"Thôn Đồng Tâm, Xã Sơn Hà, Huyện Nho Quan, Ninh Bình",,,,
Tháp Bà Ponagar,"Đường 2 tháng 4, Phường Vĩnh Phước, Thành phố Nha Trang, Khánh Hòa",,,,
Vịnh Vân Phong,", Huyện Vạn Ninh, Khánh Hòa",,,,
Vịnh Nha Trang,", Thành phố Nha Trang, Khánh Hòa",,,,
Nhà thờ Đá Nha Trang,", Thành phố Nha Trang, Khánh Hòa",,,,
Trung tâm Du lịch Suối khoáng nóng Tháp Bà Nha Trang,"Số 15 Ngọc Sơn, Phường Ngọc Hiệp, Thành phố Nha Trang, Khánh Hòa",0258 0258 3837 205,,sales@tambunthapba.vn,www.tambunthapba.vn
Viện Hải Dương Học,"Số 1 Cầu Đá, Thành phố Nha Trang, Khánh Hòa",,,,
Khu du lịch Con Sẻ Tre,", Thành phố Nha Trang, Khánh Hòa",,,,
Khu du lịch Hòn Ngọc Việt,"Đảo Hòn Tre, Phường Vĩnh Nguyên, Thành phố Nha Trang, Khánh Hòa",,,,nhatrang.vinpearlland.com
Khu du lịch Hồ cá Trí Nguyên,", Thành phố Nha Trang, Khánh Hòa",,,,
Văn miếu Diên Khánh,", Thị trấn Diên Khánh, Huyện Diên Khánh, Khánh Hòa",,,,
Đền thờ Trần Quý Cáp,", Thị trấn Diên Khánh, Huyện Diên Khánh, Khánh Hòa",,,,
Thành cổ Diên Khánh,", Huyện Khánh Vĩnh, Khánh Hòa",,,,
Khu du lịch sinh thái Suối Hoa Lan,", Xã Ninh Phú, Thị xã Ninh Hòa, Khánh Hòa",,,,
Bán đảo Đầm Môn,", Xã Vạn Thạnh, Huyện Vạn Ninh, Khánh Hòa",,,,
Bia Võ Cạnh,"Làng Võ Cạnh, Thành phố Nha Trang, Khánh Hòa",,,,
Khu du lịch Vĩnh Hy,", Xã Vĩnh Hải, Huyện Ninh Hải, Ninh Thuận",,,,
Tháp Hòa Lai,"Thôn Ba Tháp, Xã Tân Hải, Huyện Ninh Hải, Ninh Thuận",,,,
Tháp Pôrômê,"Thôn Hậu Sanh, Xã Phước Hữu, Huyện Ninh Phước, Ninh Thuận",,,,
Làng du lịch Cà Ná,", Huyện Ninh Phước, Ninh Thuận",,,,
Phố Hiến,", Thành phố Hưng Yên, Hưng Yên",,,,
Đền Chử Đồng Tử,"Thôn Yên Vĩnh, Xã Dạ Trạch, Huyện Khoái Châu, Hưng Yên",,,,
Chùa Hiến,"Phố Hiến, Phường Hồng Châu, Thành phố Hưng Yên, Hưng Yên",,,,
Đền Đậu An,"Thôn An Xá, Xã An Viên, Huyện Tiên Lữ, Hưng Yên",,,,
Chùa Nễ Châu,", Xã Hồng Nam, Thành phố Hưng Yên, Hưng Yên",,,,
Đền Mẫu,"Đường Bãi Sậy, Phường Quang Trung, Thành phố Hưng Yên, Hưng Yên",,,,
Đền Ghênh,"Thôn Ngọc Quỳnh, Thị trấn Như Quỳnh, Huyện Văn Lâm, Hưng Yên",,,,
Suối nước nóng Kim Bôi,", Huyện Kim Bôi, Hoà Bình",,,,
Hang Mỏ Luông (Hang Bộ Đội),", Thị trấn Mai Châu, Huyện Mai Châu, Hoà Bình",,,,
Thủy điện Hòa Bình,", Thành phố Hòa Bình, Hoà Bình",,,,
Bản dân tộc Mường,", Hoà Bình",,,,
Động Đá Bạc,", Huyện Lương Sơn, Hoà Bình",,,,
Đền Quốc mẫu Âu Cơ,", Huyện Lâm Thao, Phú Thọ",,,,
Vườn quốc gia Xuân Sơn,", Thị trấn Thanh Sơn, Huyện Thanh Sơn, Phú Thọ",,,,
Động Tiên Phi,", Thành phố Hòa Bình, Hoà Bình",,,,
Đầm Ao Châu,", Huyện Hạ Hoà, Phú Thọ",,,,
Núi Thắm,", Huyện Thanh Ba, Phú Thọ",,,,
Khu di tích đền Hùng,", Xã Hy Cương, Thành phố Việt Trì, Phú Thọ",,,,
Chợ nổi Phụng Hiệp,", Thị xã Ngã Bảy, Hậu Giang",,,,
Vũng Rô,", Xã Hòa Xuân Nam, Huyện Đông Hòa, Phú Yên",,,,
Đầm Ô Loan,", Huyện Tuy An, Phú Yên",,,,
Tháp Nhạn,", Phường 1, Thành phố Tuy Hoà, Phú Yên",,,,
Bãi Môn - Mũi Đại Lãnh,"Thôn Đồng Bé, Xã Hòa Tâm, Huyện Đông Hòa, Phú Yên",,,,
Địa đạo Gò Thì Thùng,", Xã An Xuân, Huyện Tuy An, Phú Yên",,,,
Khu di tích Phượng Hoàng,", Phường Văn An, Thị xã Chí Linh, Hải Dương",,,,
Khu di tích danh thắng Côn Sơn,", Phường Cộng Hoà, Thị xã Chí Linh, Hải Dương",,,,
Đảo Cò Chi Lăng Nam,", Xã Chi Lăng Nam, Huyện Thanh Miện, Hải Dương",,,,
Đền thờ Chu Văn An,", Phường Văn An, Thị xã Chí Linh, Hải Dương",,,,
Đền Kiếp Bạc,", Xã Hưng Đạo, Thị xã Chí Linh, Hải Dương",,,,
Suối Nước Moọc,", Xã Phúc Trạch, Huyện Bố Trạch, Quảng Bình",,,,
Di sản thiên nhiên thế giới Phong Nha - Kẻ Bàng,", Huyện Bố Trạch, Quảng Bình",,,,
Khu mộ Đại tướng Võ Nguyên Giáp,"Thôn Thọ Sơn, Xã Quảng Đông, Huyện Quảng Trạch, Quảng Bình",,,,
Suối nước khoáng nóng Bang,", Xã Kim Thủy, Huyện Lệ Thủy, Quảng Bình",,,,
Hang Tối,", Thị trấn Phong Nha, Huyện Bố Trạch, Quảng Bình",,,,
Hồ Kẻ Gỗ,", Huyện Cẩm Xuyên, Hà Tĩnh",,,,
Núi Hồng Lĩnh,", Xã Thiên Lộc, Huyện Can Lộc, Hà Tĩnh",,,,
Khu di tích thanh niên xung phong Ngã ba Đồng Lộc,", Thị trấn Đồng Lộc, Huyện Can Lộc, Hà Tĩnh",,,,
Núi Thiên Cầm,", Huyện Cẩm Xuyên, Hà Tĩnh",,,,
Khu lưu niệm cụ Nguyễn Du,"Làng Tiên Điền, Thị trấn Tiên Điền, Huyện Nghi Xuân, Hà Tĩnh",,,,
Đền Chiêu Trưng,", Huyện Thạch Hà, Hà Tĩnh",,,,
Bãi biển Xuân Thành,", Xã Xuân Thành, Huyện Nghi Xuân, Hà Tĩnh",,,,
Chùa và hồ Thiên Tượng,", Thị xã Hồng Lĩnh, Hà Tĩnh",,,,
Đền Trúc - Ngũ Động Sơn,"Thôn Quyển Sơn, Xã Thi Sơn, Huyện Kim Bảng, Hà Nam",,,,
Chùa Bà Đanh- Núi Ngọc,"Thôn Đanh Xá, Xã Ngọc Sơn, Huyện Kim Bảng, Hà Nam",,,,
Khu phố cổ Hội An,", Thành phố Hội An, Quảng Nam",,,,
Làng nghề đúc đồng Phước Kiều,", Xã Điện Phương, Thị xã Điện Bàn, Quảng Nam",,,,
Chùa Long Đọi Sơn,", Xã Tiên Sơn, Huyện Duy Tiên, Hà Nam",,,,
Làng gốm Thanh Hà,", Phường Thanh Hà, Thành phố Hội An, Quảng Nam",,,,
Di sản văn hóa Mỹ Sơn,", Xã Duy Phú, Huyện Duy Xuyên, Quảng Nam",,,,
Thành phố Hội An,", Thành phố Hội An, Quảng Nam",,,,
Làng rau Trà Quế,"Thôn Trà Quế, Xã Cẩm Hà, Thành phố Hội An, Quảng Nam",,,,
Tháp Chiên Đàn,", Thành phố Tam Kỳ, Quảng Nam",,,,
Chùa Phước Lâm,", Quảng Nam",,,,
Sông Thu Bồn,", Huyện Duy Xuyên, Quảng Nam",,,,
Hòn Kẽm Đá Dừng,", Huyện Quế Sơn, Quảng Nam",,,,
Cẩm Nam - Khu du lịch miệt vườn,", Thành phố Hội An, Quảng Nam",,,,
Hồ Phú Ninh,", Thành phố Tam Kỳ, Quảng Nam",,,,
Chùa Ông,"24 đường Trần Phú, Thành phố Hội An, Quảng Nam",,,,
Du lịch sinh thái Thuận Tình,", Thành phố Hội An, Quảng Nam",,,,
Bãi biển Tam Thanh,", Thành phố Tam Kỳ, Quảng Nam",,,,
Cột cờ Lũng Cú,", Xã Lũng Cú, Huyện Đồng Văn, Hà Giang",,,,
Hang Phương Thiện,", Huyện Vị Xuyên, Hà Giang",,,,
Dinh thự họ Vương,", Xã Xà Phìn, Huyện Đồng Văn, Hà Giang",,,,
Công viên địa chất Cao nguyên đá Đồng Văn,", Hà Giang",,,,
Công viên Đồng Xanh,", Xã An Phú, Thành phố Pleiku, Gia Lai",,,,
Thác Xung Khoeng,", Xã Ia Me, Huyện Chư Prông, Gia Lai",,,,
Vườn Quốc gia Kon Ka Kinh,", Gia Lai",,,,
Chùa Bửu Nghiêm,"Đường Lý Thái Tổ, Thành phố Pleiku, Gia Lai",,,,
Thủy điện Yaly,", Huyện Chư Păh, Gia Lai",0269 0269 3845 487,,,
Khu di tích cụ Phó bảng Nguyễn Sinh Sắc,"123/1 Phạm Hữu Lầu, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",,,,
Xẻo Quýt - khu di tích lịch sử - sinh thái rừng tràm,", Xã Mỹ Hiệp, Huyện Cao Lãnh, Đồng Tháp",,,,
Mộ cổ Hàng Gòn,", Xã Hàng Gòn, Thị xã Long Khánh, Đồng Nai",,,,
Chùa Bửu Phong,", Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",,,,
Khu du lịch Bửu Long - hồ Long Ẩn,", Đồng Nai",,,,
Vườn quốc gia Cát Tiên,", Đồng Nai",,,,
Chùa Ngọa Vân,"Thôn Tây Sơn, Xã Bình Khê, Thị xã Đông Triều, Quảng Ninh",,,,
Bảo tàng chiến thắng Điện Biên Phủ,"Phố 1, Phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",,,,
Đồi A1,", Phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",,,,
Khu căn cứ quân sự Khe Sanh,", Thị trấn Khe Sanh, Huyện Hướng Hóa, Quảng Trị",,,,
Thành cổ Quảng Trị,", Phường 2, Thị xã Quảng Trị, Quảng Trị",,,,
Cụm di tích lịch sử Đôi bờ cầu Hiền Lương - Bến Hải,", Huyện Vĩnh Linh, Quảng Trị",,,,
Thắng cảnh Đakrông,", Huyện Đa Krông, Quảng Trị",,,,
Nghĩa trang liệt sĩ Trường Sơn,", Huyện Gio Linh, Quảng Trị",,,,
Địa đạo Vịnh Mốc,", Xã Kim Thạch, Huyện Vĩnh Linh, Quảng Trị",,,,
Thác Gia Long,", Đắk Nông",,,,
Thác Trinh Nữ,", Đắk Nông",,,,
Nhà đày Buôn Ma Thuột,", Thành phố Buôn Ma Thuột, Đắk Lắk",,,,
Mộ vua săn bắt Voi,", Huyện Buôn Đôn, Đắk Lắk",,,,
Thác Ba Tầng,", Đắk Nông",,,,
Vườn quốc gia Yok Đôn,", Huyện Buôn Đôn, Đắk Lắk",,,,
Thác Diệu Thanh,", Huyện Đắk R'Lấp, Đắk Nông",,,,
Hồ Lắk,", Thị trấn Liên Sơn, Huyện Lắk, Đắk Lắk",,,,
Chùa Khải Đoan,"89A đường Phan Bội Châu, Phường Thống Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk",,,,
Buôn Đôn,", Huyện Buôn Đôn, Đắk Lắk",,,,
Thác Krông Kmar,", Huyện Krông Bông, Đắk Lắk",,,,
Buôn Ako Dhong,", Thành phố Buôn Ma Thuột, Đắk Lắk",,,,
Khu du lịch Bình An,", Thành phố Sóc Trăng, Sóc Trăng",,,,
Vườn cò Tân Long,", Xã Long Bình, Thị xã Ngã Năm, Sóc Trăng",,,,
Chùa Dơi,"Số 73B đường Lê Hồng Phong, Phường 3, Thành phố Sóc Trăng, Sóc Trăng",,,,
Chùa Đất Sét,"Số 163A đường Lương Đình Của, Thành phố Sóc Trăng, Sóc Trăng",,,,
Bảo tàng Khmer Sóc Trăng,", Thành phố Sóc Trăng, Sóc Trăng",,,,
Chùa Kh'leang,"Số 71 đường Mậu Thân, khóm 5, Phường 6, Thành phố Sóc Trăng, Sóc Trăng",,,,
Chùa Sà Lôn (chùa Chén Kiểu),", Xã Đại Tâm, Huyện Mỹ Xuyên, Sóc Trăng",,,,
Khu di tích nhà tù và bảo tàng tỉnh Sơn La,", Phường Tô Hiệu, Thành phố Sơn La, Sơn La",0212 0212 850 221,,baotangsl@gmail.com,www.baotangsonla.vn
Mũi Cà Mau,", Huyện Ngọc Hiển, Cà Mau",,,,
Vườn Quốc gia Mũi Cà Mau,", Huyện Ngọc Hiển, Cà Mau",,,,
Cao nguyên Mộc Châu,", Huyện Mộc Châu, Sơn La",,,,
Vườn chim trong thành phố,", Thành phố Cà Mau, Cà Mau",,,,
Toà thánh Cao Đài Tây Ninh,", Phường Long Thành Bắc, Huyện Hòa Thành, Tây Ninh",,,,
Chùa Quan Âm,"Số 84/4 đường Rạch Chùa,, Phường 4, Thành phố Cà Mau, Cà Mau",,,,
Vườn quốc gia Lò Gò - Xa Mát,", Huyện Tân Biên, Tây Ninh",,,,
Bãi biển Mũi Né,", Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",,,,
Núi Bà Đen,", Xã Thạnh Tân, Thành phố Tây Ninh, Tây Ninh",,,,
Trung tâm Bùn khoáng nóng Mũi Né,"133A Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 3743 482/  3743 477,,info@bunkhoangmuine.com,www.bunkhoangmuine.com
Chùa Núi Tà Cú,", Xã Tân Lập, Huyện Hàm Thuận Nam, Bình Thuận",,,,
Hòn Rơm,", Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",,,,
Mũi Né,", Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",,,,
Khu du lịch sinh thái Đồi Sứ,"Thôn Thuận Thành, Xã Thuận Quí, Huyện Hàm Thuận Nam, Bình Thuận",,,,
Khu du lịch Non Nước,"Thôn Tiến An, Xã Tiến Thành, Thành phố Phan Thiết, Bình Thuận",,,,
Chùa Keo,", Xã Duy Nhất, Huyện Vũ Thư, Thái Bình",,,,
Khu du lịch biển Đồng Châu,", Xã Đông Minh, Huyện Tiền Hải, Thái Bình",,,,
Làng chạm bạc Đồng Xâm,", Xã Hồng Thái, Huyện Kiến Xương, Thái Bình",,,,
